match,teamInnings,battingPos,batsmanName,,runs,balls,4s,6s,SR,match_id,dismissal
Australia Vs England,England,7,Liam Livingstone ,Out,2,5,0,0,40,ODI # 4693,c sub (SA Abbott) b Cummins
Australia Vs England,England,8,Chris Woakes ,Out,32,33,4,1,96.96,ODI # 4693,c Labuschagne b Stoinis
Australia Vs England,England,9,David Willey ,Out,15,14,3,0,107.14,ODI # 4693,c Zampa b Hazlewood
Australia Vs England,England,10,Adil Rashid ,Out,20,15,1,1,133.33,ODI # 4693,c  Inglis b Hazlewood
Australia Vs England,England,11,Mark Wood ,Not_out,0,0,0,0,-,ODI # 4693,
Australia Vs South Africa,South Africa,1,Quintonde Kock,Out,3,14,0,0,21.42,ODI # 4667,c Cummins b Hazlewood
Australia Vs South Africa,South Africa,2,Temba Bavuma ,Out,0,4,0,0,0,ODI # 4667,c  Inglis b Starc
Australia Vs South Africa,South Africa,3,Rassievan der Dussen ,Out,6,31,0,0,19.35,ODI # 4667,c Smith b Hazlewood
Australia Vs South Africa,South Africa,4,Aiden Markram ,Out,10,20,2,0,50,ODI # 4667,c Warner b Starc
Australia Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,47,48,4,2,97.91,ODI # 4667, b Head
Australia Vs South Africa,South Africa,6,David Miller ,Out,101,116,8,5,87.06,ODI # 4667,c Head b Cummins
Australia Vs South Africa,South Africa,7,Marco Jansen ,Out,0,1,0,0,0,ODI # 4667,lbw b Head
Australia Vs South Africa,South Africa,8,Gerald Coetzee ,Out,19,39,2,0,48.71,ODI # 4667,c  Inglis b Cummins
Australia Vs South Africa,South Africa,9,Keshav Maharaj ,Out,4,8,0,0,50,ODI # 4667,c Smith b Starc
Australia Vs South Africa,South Africa,10,Kagiso Rabada ,Out,10,12,0,1,83.33,ODI # 4667,c Maxwell b Cummins
Australia Vs South Africa,South Africa,11,Tabraiz Shamsi ,Not_out,1,5,0,0,20,ODI # 4667,
Australia Vs South Africa,Australia,1,Travis Head ,Out,62,48,9,2,129.16,ODI # 4667, b Maharaj
Australia Vs South Africa,Australia,2,David Warner ,Out,29,18,1,4,161.11,ODI # 4667, b Markram
Australia Vs South Africa,Australia,3,Mitchell Marsh ,Out,0,6,0,0,0,ODI # 4667,c van der Dussen b Rabada
Australia Vs South Africa,Australia,4,Steven Smith ,Out,30,62,2,0,48.38,ODI # 4667,c  de Kock b Coetzee
Australia Vs South Africa,Australia,5,Marnus Labuschagne ,Out,18,31,2,0,58.06,ODI # 4667,lbw b Shamsi
Australia Vs South Africa,Australia,6,Glenn Maxwell ,Out,1,5,0,0,20,ODI # 4667, b Shamsi
Australia Vs South Africa,Australia,7,Josh Inglis,Out,28,49,3,0,57.14,ODI # 4667, b Coetzee
Australia Vs South Africa,Australia,8,Mitchell Starc ,Not_out,16,38,2,0,42.1,ODI # 4667,
Australia Vs South Africa,Australia,9,Pat Cummins ,Not_out,14,29,2,0,48.27,ODI # 4667,
England Vs Sri Lanka,England,1,Jonny Bairstow ,Out,30,31,3,0,96.77,ODI # 4682,c de Silva b Rajitha
England Vs Sri Lanka,England,2,Dawid Malan ,Out,28,25,6,0,112,ODI # 4682,c  Mendis b Mathews
England Vs Sri Lanka,England,3,Joe Root ,Out,3,10,0,0,30,ODI # 4682,run out (Mathews/ Mendis)
England Vs Sri Lanka,England,4,Ben Stokes ,Out,43,73,6,0,58.9,ODI # 4682,c sub (MADI Hemantha) b Kumara
England Vs Sri Lanka,England,5,Jos Buttler  ,Out,8,6,1,0,133.33,ODI # 4682,c  Mendis b Kumara
England Vs Sri Lanka,England,6,Liam Livingstone ,Out,1,6,0,0,16.66,ODI # 4682,lbw b Kumara
England Vs Sri Lanka,England,7,Moeen Ali ,Out,15,15,1,0,100,ODI # 4682,c Perera b Mathews
England Vs Sri Lanka,England,8,Chris Woakes ,Out,0,4,0,0,0,ODI # 4682,c Samarawickrama b Rajitha
England Vs Sri Lanka,England,9,David Willey ,Not_out,14,17,1,1,82.35,ODI # 4682,
England Vs Sri Lanka,England,10,Adil Rashid ,Out,2,7,0,0,28.57,ODI # 4682,run out ( Mendis)
England Vs Sri Lanka,England,11,Mark Wood ,Out,5,6,1,0,83.33,ODI # 4682,st  Mendis b Theekshana
England Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka ,Not_out,77,83,7,2,92.77,ODI # 4682,
England Vs Sri Lanka,Sri Lanka,2,Kusal Perera ,Out,4,5,1,0,80,ODI # 4682,c Stokes b Willey
England Vs Sri Lanka,Sri Lanka,3,Kusal Mendis  ,Out,11,12,2,0,91.66,ODI # 4682,c  Buttler b Willey
England Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama ,Not_out,65,54,7,1,120.37,ODI # 4682,
Afghanistan Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka ,Out,46,60,5,0,76.66,ODI # 4687,c  Rahmanullah Gurbaz b Azmatullah Omarzai
Afghanistan Vs Sri Lanka,Sri Lanka,2,Dimuth Karunaratne ,Out,15,21,1,0,71.42,ODI # 4687,lbw b Fazalhaq Farooqi
Afghanistan Vs Sri Lanka,Sri Lanka,3,Kusal Mendis  ,Out,39,50,3,0,78,ODI # 4687,c sub (Najibullah Zadran) b Mujeeb Ur Rahman
Afghanistan Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama ,Out,36,40,3,0,90,ODI # 4687,lbw b Mujeeb Ur Rahman
Afghanistan Vs Sri Lanka,Sri Lanka,5,Charith Asalanka ,Out,22,28,2,0,78.57,ODI # 4687,c Rashid Khan b Fazalhaq Farooqi
Afghanistan Vs Sri Lanka,Sri Lanka,6,Dhananjayade Silva ,Out,14,26,1,0,53.84,ODI # 4687, b Rashid Khan
Afghanistan Vs Sri Lanka,Sri Lanka,7,Angelo Mathews ,Out,23,26,1,1,88.46,ODI # 4687,c Mohammad Nabi b Fazalhaq Farooqi
Afghanistan Vs Sri Lanka,Sri Lanka,8,Dushmantha Chameera ,Out,1,4,0,0,25,ODI # 4687,run out (Ibrahim Zadran)
Afghanistan Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana ,Out,29,31,3,1,93.54,ODI # 4687, b Fazalhaq Farooqi
Afghanistan Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha ,Out,5,7,0,0,71.42,ODI # 4687,run out ( Rahmanullah Gurbaz)
Afghanistan Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka ,Not_out,0,4,0,0,0,ODI # 4687,
Afghanistan Vs Sri Lanka,Afghanistan,1,Rahmanullah Gurbaz ,Out,0,4,0,0,0,ODI # 4687, b Madushanka
Afghanistan Vs Sri Lanka,Afghanistan,2,Ibrahim Zadran ,Out,39,57,4,1,68.42,ODI # 4687,c Karunaratne b Madushanka
Afghanistan Vs Sri Lanka,Afghanistan,3,Rahmat Shah ,Out,62,74,7,0,83.78,ODI # 4687,c Karunaratne b Rajitha
Afghanistan Vs Sri Lanka,Afghanistan,4,Hashmatullah Shahidi ,Not_out,58,74,2,1,78.37,ODI # 4687,
Afghanistan Vs Sri Lanka,Afghanistan,5,Azmatullah Omarzai ,Not_out,73,63,6,3,115.87,ODI # 4687,
Netherlands Vs Pakistan,Pakistan,1,Fakhar Zaman ,Out,12,15,3,0,80,ODI # 4659,c & b van Beek
Netherlands Vs Pakistan,Pakistan,2,Imam-ul- Haq ,Out,15,19,2,0,78.94,ODI # 4659,c Dutt b van Meekeren
Netherlands Vs Pakistan,Pakistan,3,Babar Azam ,Out,5,18,0,0,27.77,ODI # 4659,c Saqib Zulfiqar b Ackermann
Netherlands Vs Pakistan,Pakistan,4,Mohammad Rizwan,Out,68,75,8,0,90.66,ODI # 4659, b de Leede
Netherlands Vs Pakistan,Pakistan,5,Saud Shakeel ,Out,68,52,9,1,130.76,ODI # 4659,c Saqib Zulfiqar b Dutt
Netherlands Vs Pakistan,Pakistan,6,Iftikhar Ahmed ,Out,9,11,1,0,81.81,ODI # 4659,c  Edwards b de Leede
Netherlands Vs Pakistan,Pakistan,7,Mohammad Nawaz ,Out,39,43,4,0,90.69,ODI # 4659,run out (van Meekeren/Ackermann)
Netherlands Vs Pakistan,Pakistan,8,Shadab Khan ,Out,32,34,2,1,94.11,ODI # 4659, b de Leede
Netherlands Vs Pakistan,Pakistan,9,Hasan Ali ,Out,0,1,0,0,0,ODI # 4659,lbw b de Leede
Netherlands Vs Pakistan,Pakistan,10,Shaheen Shah Afridi ,Not_out,13,12,2,0,108.33,ODI # 4659,
Netherlands Vs Pakistan,Pakistan,11,Haris Rauf ,Out,16,14,2,1,114.28,ODI # 4659,st  Edwards b Ackermann
Netherlands Vs Pakistan,Netherlands,1,Vikramjit Singh ,Out,52,67,4,1,77.61,ODI # 4659,c Fakhar Zaman b Shadab Khan
Netherlands Vs Pakistan,Netherlands,2,Max O' Dowd ,Out,5,12,1,0,41.66,ODI # 4659,c Shaheen Shah Afridi b Hasan Ali
Netherlands Vs Pakistan,Netherlands,3,Colin Ackermann ,Out,17,21,3,0,80.95,ODI # 4659, b Iftikhar Ahmed
Netherlands Vs Pakistan,Netherlands,4,Basde Leede ,Out,67,68,6,2,98.52,ODI # 4659, b Mohammad Nawaz
Netherlands Vs Pakistan,Netherlands,5,Teja Nidamanuru ,Out,5,9,1,0,55.55,ODI # 4659,c Fakhar Zaman b Haris Rauf
Netherlands Vs Pakistan,Netherlands,6,Scott Edwards  ,Out,0,2,0,0,0,ODI # 4659,lbw b Haris Rauf
Netherlands Vs Pakistan,Netherlands,7,Saqib Zulfiqar ,Out,10,18,1,0,55.55,ODI # 4659,lbw b Shaheen Shah Afridi
Netherlands Vs Pakistan,Netherlands,8,Roelofvan der Merwe ,Out,4,7,0,0,57.14,ODI # 4659,run out (Babar Azam/ Mohammad Rizwan)
Netherlands Vs Pakistan,Netherlands,9,Loganvan Beek ,Not_out,28,28,3,1,100,ODI # 4659,
Netherlands Vs Pakistan,Netherlands,10,Aryan Dutt ,Out,1,2,0,0,50,ODI # 4659, b Hasan Ali
Netherlands Vs Pakistan,Netherlands,11,Paulvan Meekeren ,Out,7,12,1,0,58.33,ODI # 4659, b Haris Rauf
Afghanistan Vs Netherlands,Netherlands,1,Wesley Barresi ,Out,1,4,0,0,25,ODI # 4691,lbw b Mujeeb Ur Rahman
Afghanistan Vs Netherlands,Netherlands,2,Max O' Dowd ,Out,42,40,9,0,105,ODI # 4691,run out (Azmatullah Omarzai)
Afghanistan Vs Netherlands,Netherlands,3,Colin Ackermann ,Out,29,35,4,0,82.85,ODI # 4691,run out (Rashid Khan/ Ikram Alikhil)
Afghanistan Vs Netherlands,Netherlands,4,Sybrand Engelbrecht ,Out,58,86,6,0,67.44,ODI # 4691,run out (Mohammad Nabi/ Ikram Alikhil)
Afghanistan Vs Netherlands,Netherlands,5,Scott Edwards  ,Out,0,1,0,0,0,ODI # 4691,run out ( Ikram Alikhil)
Afghanistan Vs Netherlands,Netherlands,6,Basde Leede ,Out,3,6,0,0,50,ODI # 4691,c  Ikram Alikhil b Mohammad Nabi
Afghanistan Vs Netherlands,Netherlands,7,Saqib Zulfiqar ,Out,3,15,0,0,20,ODI # 4691,c  Ikram Alikhil b Noor Ahmad
Afghanistan Vs Netherlands,Netherlands,8,Loganvan Beek ,Out,2,13,0,0,15.38,ODI # 4691,st  Ikram Alikhil b Mohammad Nabi
Afghanistan Vs Netherlands,Netherlands,9,Roelofvan der Merwe ,Out,11,33,0,0,33.33,ODI # 4691,c Ibrahim Zadran b Noor Ahmad
Afghanistan Vs Netherlands,Netherlands,10,Aryan Dutt ,Not_out,10,22,0,0,45.45,ODI # 4691,
Afghanistan Vs Netherlands,Netherlands,11,Paulvan Meekeren ,Out,4,24,0,0,16.66,ODI # 4691,lbw b Mohammad Nabi
Afghanistan Vs Netherlands,Afghanistan,1,Rahmanullah Gurbaz ,Out,10,11,2,0,90.9,ODI # 4691,c  Edwards b van Beek
Afghanistan Vs Netherlands,Afghanistan,2,Ibrahim Zadran ,Out,20,34,2,0,58.82,ODI # 4691, b van der Merwe
Afghanistan Vs Netherlands,Afghanistan,3,Rahmat Shah ,Out,52,54,8,0,96.29,ODI # 4691,c & b Saqib Zulfiqar
Afghanistan Vs Netherlands,Afghanistan,4,Hashmatullah Shahidi ,Not_out,56,64,6,0,87.5,ODI # 4691,
Afghanistan Vs Netherlands,Afghanistan,5,Azmatullah Omarzai ,Not_out,31,28,3,0,110.71,ODI # 4691,
India Vs Australia,India,1,Rohit Sharma ,Out,47,31,4,3,151.61,ODI # 4662,c Head b Maxwell
India Vs Australia,India,2,Shubman Gill ,Out,4,7,0,0,57.14,ODI # 4662,c Zampa b Starc
India Vs Australia,India,3,Virat Kohli ,Out,54,63,4,0,85.71,ODI # 4662, b Cummins
India Vs Australia,India,4,Shreyas Iyer ,Out,4,3,1,0,133.33,ODI # 4662,c  Inglis b Cummins
India Vs Australia,India,5,K L Rahul,Out,66,107,1,0,61.68,ODI # 4662,c  Inglis b Starc
India Vs Australia,India,6,Ravindra Jadeja ,Out,9,22,0,0,40.9,ODI # 4662,c  Inglis b Hazlewood
India Vs Australia,India,7,Suryakumar Yadav ,Out,18,28,1,0,64.28,ODI # 4662,c  Inglis b Hazlewood
India Vs Australia,India,8,Mohammed Shami ,Out,6,10,1,0,60,ODI # 4662,c  Inglis b Starc
India Vs Australia,India,9,Jasprit Bumrah ,Out,1,3,0,0,33.33,ODI # 4662,lbw b Zampa
India Vs Australia,India,10,Kuldeep Yadav ,Out,10,18,0,0,55.55,ODI # 4662,run out (Labuschagne/Cummins)
India Vs Australia,India,11,Mohammed Siraj ,Not_out,9,8,1,0,112.5,ODI # 4662,
India Vs Australia,Australia,1,David Warner ,Out,7,3,1,0,233.33,ODI # 4662,c Kohli b Mohammed Shami
India Vs Australia,Australia,2,Travis Head ,Out,137,120,15,4,114.16,ODI # 4662,c Shubman Gill b Mohammed Siraj
India Vs Australia,Australia,3,Mitchell Marsh ,Out,15,15,1,1,100,ODI # 4662,c  Rahul b Bumrah
India Vs Australia,Australia,4,Steven Smith ,Out,4,9,1,0,44.44,ODI # 4662,lbw b Bumrah
India Vs Australia,Australia,5,Marnus Labuschagne ,Not_out,58,110,4,0,52.72,ODI # 4662,
India Vs Australia,Australia,6,Glenn Maxwell ,Not_out,2,1,0,0,200,ODI # 4662,
Australia Vs South Africa,South Africa,1,Quintonde Kock,Out,109,106,8,5,102.83,ODI # 4667, b Maxwell
Australia Vs South Africa,South Africa,2,Temba Bavuma ,Out,35,55,2,0,63.63,ODI # 4667,c Warner b Maxwell
Australia Vs South Africa,South Africa,3,Rassievan der Dussen ,Out,26,30,2,0,86.66,ODI # 4667,c sub (SA Abbott) b Zampa
Australia Vs South Africa,South Africa,4,Aiden Markram ,Out,56,44,7,1,127.27,ODI # 4667,c Hazlewood b Cummins
Australia Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,29,27,3,0,107.4,ODI # 4667,c  Inglis b Hazlewood
Australia Vs South Africa,South Africa,6,David Miller ,Out,17,13,1,1,130.76,ODI # 4667, b Starc
Australia Vs South Africa,South Africa,7,Marco Jansen ,Out,26,22,3,1,118.18,ODI # 4667,c Warner b Starc
Australia Vs South Africa,South Africa,8,Kagiso Rabada ,Not_out,0,1,0,0,0,ODI # 4667,
Australia Vs South Africa,South Africa,9,Keshav Maharaj ,Not_out,0,2,0,0,0,ODI # 4667,
Australia Vs South Africa,Australia,1,Mitchell Marsh ,Out,7,15,0,0,46.66,ODI # 4667,c Bavuma b Jansen
Australia Vs South Africa,Australia,2,David Warner ,Out,13,27,2,0,48.14,ODI # 4667,c van der Dussen b Ngidi
Australia Vs South Africa,Australia,3,Steven Smith ,Out,19,16,4,0,118.75,ODI # 4667,lbw b Rabada
Australia Vs South Africa,Australia,4,Marnus Labuschagne ,Out,46,74,3,0,62.16,ODI # 4667,c Bavuma b Maharaj
Australia Vs South Africa,Australia,5,Josh Inglis,Out,5,4,1,0,125,ODI # 4667, b Rabada
Australia Vs South Africa,Australia,6,Glenn Maxwell ,Out,3,17,0,0,17.64,ODI # 4667,c & b Maharaj
Australia Vs South Africa,Australia,7,Marcus Stoinis ,Out,5,4,1,0,125,ODI # 4667,c  de Kock b Rabada
Australia Vs South Africa,Australia,8,Mitchell Starc ,Out,27,51,3,0,52.94,ODI # 4667,c  de Kock b Jansen
Australia Vs South Africa,Australia,9,Pat Cummins ,Out,22,21,4,0,104.76,ODI # 4667,c Miller b Shamsi
Australia Vs South Africa,Australia,10,Adam Zampa ,Not_out,11,16,1,0,68.75,ODI # 4667,
Australia Vs South Africa,Australia,11,Josh Hazlewood ,Out,2,2,0,0,100,ODI # 4667,c Rabada b Shamsi
Pakistan Vs South Africa,Pakistan,1,Abdullah Shafique ,Out,9,17,1,0,52.94,ODI # 4683,c Ngidi b Jansen
Pakistan Vs South Africa,Pakistan,2,Imam-ul- Haq ,Out,12,18,2,0,66.66,ODI # 4683,c Klaasen b Jansen
Pakistan Vs South Africa,Pakistan,3,Babar Azam ,Out,50,65,4,1,76.92,ODI # 4683,c  de Kock b Shamsi
Pakistan Vs South Africa,Pakistan,4,Mohammad Rizwan,Out,31,27,4,1,114.81,ODI # 4683,c  de Kock b Coetzee
Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed ,Out,21,31,1,1,67.74,ODI # 4683,c Klaasen b Shamsi
Pakistan Vs South Africa,Pakistan,6,Saud Shakeel ,Out,52,52,7,0,100,ODI # 4683,c  de Kock b Shamsi
Pakistan Vs South Africa,Pakistan,7,Shadab Khan ,Out,43,36,3,2,119.44,ODI # 4683,c Maharaj b Coetzee
Pakistan Vs South Africa,Pakistan,8,Mohammad Nawaz ,Out,24,24,1,2,100,ODI # 4683,c Miller b Jansen
Pakistan Vs South Africa,Pakistan,9,Shaheen Shah Afridi ,Out,2,4,0,0,50,ODI # 4683,c Maharaj b Shamsi
Pakistan Vs South Africa,Pakistan,10,Mohammad Wasim ,Out,7,9,0,1,77.77,ODI # 4683,c  de Kock b Ngidi
Pakistan Vs South Africa,Pakistan,11,Haris Rauf ,Not_out,0,1,0,0,0,ODI # 4683,
Pakistan Vs South Africa,South Africa,1,Temba Bavuma ,Out,28,27,4,1,103.7,ODI # 4683,c Saud Shakeel b Mohammad Wasim
Pakistan Vs South Africa,South Africa,2,Quintonde Kock,Out,24,14,5,0,171.42,ODI # 4683,c Mohammad Wasim b Shaheen Shah Afridi
Pakistan Vs South Africa,South Africa,3,Rassievan der Dussen ,Out,21,39,0,0,53.84,ODI # 4683,lbw b Usama Mir
Pakistan Vs South Africa,South Africa,4,Aiden Markram ,Out,91,93,7,3,97.84,ODI # 4683,c Babar Azam b Usama Mir
Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,12,10,0,1,120,ODI # 4683,c Usama Mir b Mohammad Wasim
Pakistan Vs South Africa,South Africa,6,David Miller ,Out,29,33,2,2,87.87,ODI # 4683,c  Mohammad Rizwan b Shaheen Shah Afridi
Pakistan Vs South Africa,South Africa,7,Marco Jansen ,Out,20,14,2,1,142.85,ODI # 4683,c Babar Azam b Haris Rauf
Pakistan Vs South Africa,South Africa,8,Gerald Coetzee ,Out,10,13,0,0,76.92,ODI # 4683,c  Mohammad Rizwan b Shaheen Shah Afridi
Pakistan Vs South Africa,South Africa,9,Keshav Maharaj ,Not_out,7,21,1,0,33.33,ODI # 4683,
Pakistan Vs South Africa,South Africa,10,Lungi Ngidi ,Out,4,14,0,0,28.57,ODI # 4683,c & b Haris Rauf
Pakistan Vs South Africa,South Africa,11,Tabraiz Shamsi ,Not_out,4,6,0,0,66.66,ODI # 4683,
Afghanistan Vs South Africa,Afghanistan,1,Rahmanullah Gurbaz ,Out,25,22,3,1,113.63,ODI # 4699,c Klaasen b Maharaj
Afghanistan Vs South Africa,Afghanistan,2,Ibrahim Zadran ,Out,15,30,3,0,50,ODI # 4699,c  de Kock b Coetzee
Afghanistan Vs South Africa,Afghanistan,3,Rahmat Shah ,Out,26,46,2,0,56.52,ODI # 4699,c Miller b Ngidi
Afghanistan Vs South Africa,Afghanistan,4,Hashmatullah Shahidi ,Out,2,7,0,0,28.57,ODI # 4699,c  de Kock b Maharaj
Afghanistan Vs South Africa,Afghanistan,5,Azmatullah Omarzai ,Not_out,97,107,7,3,90.65,ODI # 4699,
Afghanistan Vs South Africa,Afghanistan,6,Ikram Alikhil,Out,12,14,1,1,85.71,ODI # 4699,c  de Kock b Coetzee
Afghanistan Vs South Africa,Afghanistan,7,Mohammad Nabi ,Out,2,3,0,0,66.66,ODI # 4699,c  de Kock b Ngidi
Afghanistan Vs South Africa,Afghanistan,8,Rashid Khan ,Out,14,30,0,0,46.66,ODI # 4699,c  de Kock b Phehlukwayo
Afghanistan Vs South Africa,Afghanistan,9,Noor Ahmad ,Out,26,32,4,0,81.25,ODI # 4699,c  de Kock b Coetzee
Afghanistan Vs South Africa,Afghanistan,10,Mujeeb Ur Rahman ,Out,8,5,0,1,160,ODI # 4699,c Markram b Coetzee
Afghanistan Vs South Africa,Afghanistan,11,Naveen-ul- Haq ,Out,2,4,0,0,50,ODI # 4699,run out (Rabada)
Afghanistan Vs South Africa,South Africa,1,Quintonde Kock,Out,41,47,2,3,87.23,ODI # 4699,lbw b Mohammad Nabi
Afghanistan Vs South Africa,South Africa,2,Temba Bavuma ,Out,23,28,3,0,82.14,ODI # 4699,c Rahmanullah Gurbaz b Mujeeb Ur Rahman
Afghanistan Vs South Africa,South Africa,3,Rassievan der Dussen ,Not_out,76,95,6,1,80,ODI # 4699,
Afghanistan Vs South Africa,South Africa,4,Aiden Markram ,Out,25,32,1,1,78.12,ODI # 4699,c Naveen-ul-Haq b Rashid Khan
Afghanistan Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,10,13,1,0,76.92,ODI # 4699, b Rashid Khan
Afghanistan Vs South Africa,South Africa,6,David Miller ,Out,24,33,1,1,72.72,ODI # 4699,c & b Mohammad Nabi
Afghanistan Vs South Africa,South Africa,7,Andile Phehlukwayo ,Not_out,39,37,1,3,105.4,ODI # 4699,
England Vs Netherlands,England,1,Jonny Bairstow ,Out,15,17,2,0,88.23,ODI # 4697,c van Meekeren b Dutt
England Vs Netherlands,England,2,Dawid Malan ,Out,87,74,10,2,117.56,ODI # 4697,run out ( Edwards/van Beek)
England Vs Netherlands,England,3,Joe Root ,Out,28,35,1,0,80,ODI # 4697, b van Beek
England Vs Netherlands,England,4,Ben Stokes ,Out,108,84,6,6,128.57,ODI # 4697,c Engelbrecht b van Beek
England Vs Netherlands,England,5,Harry Brook ,Out,11,16,2,0,68.75,ODI # 4697,c Ackermann b de Leede
England Vs Netherlands,England,6,Jos Buttler  ,Out,5,11,0,0,45.45,ODI # 4697,c Nidamanuru b van Meekeren
England Vs Netherlands,England,7,Moeen Ali ,Out,4,15,0,0,26.66,ODI # 4697,c de Leede b Dutt
England Vs Netherlands,England,8,Chris Woakes ,Out,51,45,5,1,113.33,ODI # 4697,c  Edwards b de Leede
England Vs Netherlands,England,9,David Willey ,Out,6,2,0,1,300,ODI # 4697,c Engelbrecht b de Leede
England Vs Netherlands,England,10,Gus Atkinson ,Not_out,2,1,0,0,200,ODI # 4697,
England Vs Netherlands,England,11,Adil Rashid ,Not_out,1,1,0,0,100,ODI # 4697,
England Vs Netherlands,Netherlands,1,Wesley Barresi ,Out,37,62,3,1,59.67,ODI # 4697,run out (Woakes/Ali)
England Vs Netherlands,Netherlands,2,Max O' Dowd ,Out,5,11,1,0,45.45,ODI # 4697,c Ali b Woakes
England Vs Netherlands,Netherlands,3,Colin Ackermann ,Out,0,2,0,0,0,ODI # 4697,c  Buttler b Willey
England Vs Netherlands,Netherlands,4,Sybrand Engelbrecht ,Out,33,49,3,1,67.34,ODI # 4697,c Woakes b Willey
England Vs Netherlands,Netherlands,5,Scott Edwards  ,Out,38,42,3,1,90.47,ODI # 4697,c Malan b Ali
England Vs Netherlands,Netherlands,6,Basde Leede ,Out,10,12,2,0,83.33,ODI # 4697, b Rashid
England Vs Netherlands,Netherlands,7,Teja Nidamanuru ,Not_out,41,34,2,3,120.58,ODI # 4697,
England Vs Netherlands,Netherlands,8,Loganvan Beek ,Out,2,2,0,0,100,ODI # 4697,c Malan b Rashid
England Vs Netherlands,Netherlands,9,Roelofvan der Merwe ,Out,0,4,0,0,0,ODI # 4697,c Rashid b Ali
England Vs Netherlands,Netherlands,10,Aryan Dutt ,Out,1,3,0,0,33.33,ODI # 4697, b Rashid
England Vs Netherlands,Netherlands,11,Paulvan Meekeren ,Out,4,3,1,0,133.33,ODI # 4697,st  Buttler b Ali
India Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,Out,21,28,3,1,75,ODI # 4666,c Thakur b Pandya
India Vs Afghanistan,Afghanistan,2,Ibrahim Zadran ,Out,22,28,4,0,78.57,ODI # 4666,c  Rahul b Bumrah
India Vs Afghanistan,Afghanistan,3,Rahmat Shah ,Out,16,22,3,0,72.72,ODI # 4666,lbw b Thakur
India Vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi ,Out,80,88,8,1,90.9,ODI # 4666,lbw b Kuldeep Yadav
India Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai ,Out,62,69,2,4,89.85,ODI # 4666, b Pandya
India Vs Afghanistan,Afghanistan,6,Mohammad Nabi ,Out,19,27,1,0,70.37,ODI # 4666,lbw b Bumrah
India Vs Afghanistan,Afghanistan,7,Najibullah Zadran ,Out,2,8,0,0,25,ODI # 4666,c Kohli b Bumrah
India Vs Afghanistan,Afghanistan,8,Rashid Khan ,Out,16,12,1,1,133.33,ODI # 4666,c Kuldeep Yadav b Bumrah
India Vs Afghanistan,Afghanistan,9,Mujeeb Ur Rahman ,Not_out,10,12,2,0,83.33,ODI # 4666,
India Vs Afghanistan,Afghanistan,10,Naveen-ul- Haq ,Not_out,9,8,1,0,112.5,ODI # 4666,
India Vs Afghanistan,India,1,Rohit Sharma ,Out,131,84,16,5,155.95,ODI # 4666, b Rashid Khan
India Vs Afghanistan,India,2,Ishan Kishan ,Out,47,47,5,2,100,ODI # 4666,c Ibrahim Zadran b Rashid Khan
India Vs Afghanistan,India,3,Virat Kohli ,Not_out,55,56,6,0,98.21,ODI # 4666,
India Vs Afghanistan,India,4,Shreyas Iyer ,Not_out,25,23,1,1,108.69,ODI # 4666,
India Vs South Africa,India,1,Rohit Sharma ,Out,40,24,6,2,166.66,ODI # 4694,c Bavuma b Rabada
India Vs South Africa,India,2,Shubman Gill ,Out,23,24,4,1,95.83,ODI # 4694, b Maharaj
India Vs South Africa,India,3,Virat Kohli ,Not_out,101,121,10,0,83.47,ODI # 4694,
India Vs South Africa,India,4,Shreyas Iyer ,Out,77,87,7,2,88.5,ODI # 4694,c Markram b Ngidi
India Vs South Africa,India,5,K L Rahul,Out,8,17,0,0,47.05,ODI # 4694,c van der Dussen b Jansen
India Vs South Africa,India,6,Suryakumar Yadav ,Out,22,14,5,0,157.14,ODI # 4694,c  de Kock b Shamsi
India Vs South Africa,India,7,Ravindra Jadeja ,Not_out,29,15,3,1,193.33,ODI # 4694,
India Vs South Africa,South Africa,1,Quintonde Kock,Out,5,10,1,0,50,ODI # 4694, b Mohammed Siraj
India Vs South Africa,South Africa,2,Temba Bavuma ,Out,11,19,1,0,57.89,ODI # 4694, b Jadeja
India Vs South Africa,South Africa,3,Rassievan der Dussen ,Out,13,32,1,0,40.62,ODI # 4694,lbw b Mohammed Shami
India Vs South Africa,South Africa,4,Aiden Markram ,Out,9,6,2,0,150,ODI # 4694,c  Rahul b Mohammed Shami
India Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,1,11,0,0,9.09,ODI # 4694,lbw b Jadeja
India Vs South Africa,South Africa,6,David Miller ,Out,11,11,2,0,100,ODI # 4694, b Jadeja
